"SOFTWARE_ID","CPE_ID","SW_PART","SW_PRODUCT","SW_VENDOR","SW_VERSION"
"SOFT77","cpe:2.3:a:microsoft:visual_studio_2022:-:*:*:*:*:*:*:*","a","visual_studio_2022","microsoft",
"SOFT78","cpe:2.3:a:apache:hive:4.0.0:*:*:*:*:*:*:*","a","hive","apache",
"SOFT79","cpe:2.3:a:ellucian:banner_student:8.5.1.2:*:*:*:*:*:*:*","a","banner_student","ellucian","8.5.1.2"
"SOFT80","cpe:2.3:a:cylance:cylanceprotect:1470:*:*:*:*:*:*:*",,"cylanceprotect","cylance",
"SOFT81","cpe:2.3:a:paloaltonetworks:globalprotect:5.0.0:*:*:*:*:windows:*:*","a","globalprotect","paloaltonetworks",
"SOFT82","cpe:2.3:a:maplesoft:maple_t.a.:2016.0.6:*:*:*:*:*:*:*","a","maple_t.a.","maple",
"SOFT83","cpe:2.3:a:mitel:connect_onsite:-:*:*:*:*:*:*:*","a","connect_onsite","mitel",
"SOFT01","cpe:2.3:a:adobe:after_effects:22.2.1:*:*:*:*:*:*:*","a","after_effects","adobe","22.2.1"
"SOFT02","cpe:2.3:a:adobe:illustrator:26.1.0:*:*:*:*:*:*:*","a","illustrator","adobe","26.1"
"SOFT03","cpe:2.3:a:adobe:photoshop:23.1:*:*:*:*:*:*:*","a","photoshop","adobe","23.1"
"SOFT04","cpe:2.3:a:adobe:premiere_pro:15.4.2:*:*:*:*:*:*:*","a","premiere_pro","adobe",
"SOFT05","cpe:2.3:a:audacityteam:audacity:2.4.2:*:*:*:*:*:*:*","a","audacity","audacitycityteam","2.4.2"
"SOFT06","cpe:2.3:a:autodesk:inventor:2022.2:*:*:*:*:*:*:*","a","inventor","autodesk","2022.2"
"SOFT07","cpe:2.3:a:esri:arcgis_engine:10.8.1:*:*:*:*:*:*:*","a","arc_gis","esri","10.8.1"
"SOFT08","cpe:2.3:a:instructure:canvas_learning_management_service:2020-07-29:*:*:*:*:*:*:*","a","canvas","instructure","44021"
"SOFT09","cpe:2.3:a:microsoft:skype:-:*:*:*:*:*:*:*","a","skype","microsoft",
"SOFT10","cpe:2.3:a:zoom:meetings:5.8.0:*:*:*:*:windows:*:*","a","meetings","zoom","5.8.0"
"SOFT11","cpe:2.3:a:bestwebsoft:linkedin:1.0.0:*:*:*:*:wordpress:*:*","a","linkedin","bestwebsoft",
"SOFT12","cpe:2.3:a:microsoft:xamarin.forms:-:*:*:*:*:*:*:*","a","xamarin.forms","microsoft",
"SOFT13","cpe:2.3:a:adobe:acrobat_reader_dc:17.011.30156:*:*:*:classic:*:*:*","a","acrobat_reader_dc","adobe","7.011.30156"
"SOFT14","cpe:2.3:a:adobe:acrobat_dc:-:*:*:*:pro:*:*:*","a","acrobat_dc","adobe",
