SOFTWARE_ID,CPE_ID,part,vendor,product,version
SOFT01,cpe:2.3:a:adobe:after_effects:22.2.1:*:*:*:*:*:*:*,a,adobe,after_effects,22.2.1
SOFT02,cpe:2.3:a:adobe:illustrator:26.1.0:*:*:*:*:*:*:*,a,adobe,Illustrator,26.1
SOFT03,cpe:2.3:a:adobe:photoshop:23.1:*:*:*:*:*:*:*,a,adobe,photoshop,23.1
SOFT04,cpe:2.3:a:adobe:premiere_pro:15.4.2:*:*:*:*:*:*:*,a,adobe,premiere_pro,
SOFT05,cpe:2.3:a:audacityteam:audacity:2.4.2:*:*:*:*:*:*:*,a,Audacitycityteam,audacity,2.4.2
SOFT06,cpe:2.3:a:autodesk:inventor:2022.2:*:*:*:*:*:*:*,a,Autodesk,inventor,2022.2
SOFT07,cpe:2.3:a:esri:arcgis_engine:10.8.1:*:*:*:*:*:*:*,a,Esri,arc_gis,10.8.1
SOFT08,cpe:2.3:a:instructure:canvas_learning_management_service:2020-07-29:*:*:*:*:*:*:*,a,Instructure,canvas,44021
SOFT09,cpe:2.3:a:microsoft:skype:-:*:*:*:*:*:*:*,a,Microsoft,skype,
SOFT10,cpe:2.3:a:zoom:meetings:5.8.0:*:*:*:*:windows:*:*,a,Zoom,meetings,5.8.0
SOFT11,cpe:2.3:a:bestwebsoft:linkedin:1.0.0:*:*:*:*:wordpress:*:*,a,bestwebsoft,linkedin,
SOFT12,cpe:2.3:a:microsoft:xamarin.forms:-:*:*:*:*:*:*:*,a,Microsoft,xamarin.forms,
SOFT13,cpe:2.3:a:adobe:acrobat_reader_dc:17.011.30156:*:*:*:classic:*:*:*,a,adobe,acrobat_reader_dc,7.011.30156
